DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
2005-08-20,2005-08-20,7,Saturday,20,232,34,August,8,3,2005,2,1,2006,1
2005-08-21,2005-08-21,1,Sunday,21,233,35,August,8,3,2005,2,1,2006,1
2005-08-22,2005-08-22,2,Monday,22,234,35,August,8,3,2005,2,1,2006,1
2005-08-23,2005-08-23,3,Tuesday,23,235,35,August,8,3,2005,2,1,2006,1
2005-08-24,2005-08-24,4,Wednesday,24,236,35,August,8,3,2005,2,1,2006,1
2005-08-25,2005-08-25,5,Thursday,25,237,35,August,8,3,2005,2,1,2006,1
2005-08-26,2005-08-26,6,Friday,26,238,35,August,8,3,2005,2,1,2006,1
2005-08-27,2005-08-27,7,Saturday,27,239,35,August,8,3,2005,2,1,2006,1
2005-08-28,2005-08-28,1,Sunday,28,240,36,August,8,3,2005,2,1,2006,1
2005-08-29,2005-08-29,2,Monday,29,241,36,August,8,3,2005,2,1,2006,1
2005-08-30,2005-08-30,3,Tuesday,30,242,36,August,8,3,2005,2,1,2006,1
2005-08-31,2005-08-31,4,Wednesday,31,243,36,August,8,3,2005,2,1,2006,1
2005-09-01,2005-09-01,5,Thursday,1,244,36,September,9,3,2005,2,1,2006,1
2005-09-02,2005-09-02,6,Friday,2,245,36,September,9,3,2005,2,1,2006,1
2005-09-03,2005-09-03,7,Saturday,3,246,36,September,9,3,2005,2,1,2006,1
2005-09-04,2005-09-04,1,Sunday,4,247,37,September,9,3,2005,2,1,2006,1
2005-09-05,2005-09-05,2,Monday,5,248,37,September,9,3,2005,2,1,2006,1
2005-09-06,2005-09-06,3,Tuesday,6,249,37,September,9,3,2005,2,1,2006,1
2005-09-07,2005-09-07,4,Wednesday,7,250,37,September,9,3,2005,2,1,2006,1
2005-09-08,2005-09-08,5,Thursday,8,251,37,September,9,3,2005,2,1,2006,1
2005-09-09,2005-09-09,6,Friday,9,252,37,September,9,3,2005,2,1,2006,1
2005-09-10,2005-09-10,7,Saturday,10,253,37,September,9,3,2005,2,1,2006,1
2005-09-11,2005-09-11,1,Sunday,11,254,38,September,9,3,2005,2,1,2006,1
2005-09-12,2005-09-12,2,Monday,12,255,38,September,9,3,2005,2,1,2006,1
2005-09-13,2005-09-13,3,Tuesday,13,256,38,September,9,3,2005,2,1,2006,1
2005-09-14,2005-09-14,4,Wednesday,14,257,38,September,9,3,2005,2,1,2006,1
2005-09-15,2005-09-15,5,Thursday,15,258,38,September,9,3,2005,2,1,2006,1
2005-09-16,2005-09-16,6,Friday,16,259,38,September,9,3,2005,2,1,2006,1
2005-09-17,2005-09-17,7,Saturday,17,260,38,September,9,3,2005,2,1,2006,1
2005-09-18,2005-09-18,1,Sunday,18,261,39,September,9,3,2005,2,1,2006,1
2005-09-19,2005-09-19,2,Monday,19,262,39,September,9,3,2005,2,1,2006,1
2005-09-20,2005-09-20,3,Tuesday,20,263,39,September,9,3,2005,2,1,2006,1
2005-09-21,2005-09-21,4,Wednesday,21,264,39,September,9,3,2005,2,1,2006,1
2005-09-22,2005-09-22,5,Thursday,22,265,39,September,9,3,2005,2,1,2006,1
2005-09-23,2005-09-23,6,Friday,23,266,39,September,9,3,2005,2,1,2006,1
2005-09-24,2005-09-24,7,Saturday,24,267,39,September,9,3,2005,2,1,2006,1
2005-09-25,2005-09-25,1,Sunday,25,268,40,September,9,3,2005,2,1,2006,1
2005-09-26,2005-09-26,2,Monday,26,269,40,September,9,3,2005,2,1,2006,1
2005-09-27,2005-09-27,3,Tuesday,27,270,40,September,9,3,2005,2,1,2006,1
2005-09-28,2005-09-28,4,Wednesday,28,271,40,September,9,3,2005,2,1,2006,1
2005-09-29,2005-09-29,5,Thursday,29,272,40,September,9,3,2005,2,1,2006,1
2005-09-30,2005-09-30,6,Friday,30,273,40,September,9,3,2005,2,1,2006,1
2005-10-01,2005-10-01,7,Saturday,1,274,40,October,10,4,2005,2,2,2006,1
2005-10-02,2005-10-02,1,Sunday,2,275,41,October,10,4,2005,2,2,2006,1
2005-10-03,2005-10-03,2,Monday,3,276,41,October,10,4,2005,2,2,2006,1
2005-10-04,2005-10-04,3,Tuesday,4,277,41,October,10,4,2005,2,2,2006,1
2005-10-05,2005-10-05,4,Wednesday,5,278,41,October,10,4,2005,2,2,2006,1
2005-10-06,2005-10-06,5,Thursday,6,279,41,October,10,4,2005,2,2,2006,1
2005-10-07,2005-10-07,6,Friday,7,280,41,October,10,4,2005,2,2,2006,1
2005-10-08,2005-10-08,7,Saturday,8,281,41,October,10,4,2005,2,2,2006,1
2005-10-09,2005-10-09,1,Sunday,9,282,42,October,10,4,2005,2,2,2006,1
2005-10-10,2005-10-10,2,Monday,10,283,42,October,10,4,2005,2,2,2006,1
2005-10-11,2005-10-11,3,Tuesday,11,284,42,October,10,4,2005,2,2,2006,1
2005-10-12,2005-10-12,4,Wednesday,12,285,42,October,10,4,2005,2,2,2006,1
2005-10-13,2005-10-13,5,Thursday,13,286,42,October,10,4,2005,2,2,2006,1
2005-10-14,2005-10-14,6,Friday,14,287,42,October,10,4,2005,2,2,2006,1
2005-10-15,2005-10-15,7,Saturday,15,288,42,October,10,4,2005,2,2,2006,1
2005-10-16,2005-10-16,1,Sunday,16,289,43,October,10,4,2005,2,2,2006,1
2005-10-17,2005-10-17,2,Monday,17,290,43,October,10,4,2005,2,2,2006,1
2005-10-18,2005-10-18,3,Tuesday,18,291,43,October,10,4,2005,2,2,2006,1
2005-10-19,2005-10-19,4,Wednesday,19,292,43,October,10,4,2005,2,2,2006,1
2005-10-20,2005-10-20,5,Thursday,20,293,43,October,10,4,2005,2,2,2006,1
2005-10-21,2005-10-21,6,Friday,21,294,43,October,10,4,2005,2,2,2006,1
2005-10-22,2005-10-22,7,Saturday,22,295,43,October,10,4,2005,2,2,2006,1
2005-10-23,2005-10-23,1,Sunday,23,296,44,October,10,4,2005,2,2,2006,1
2005-10-24,2005-10-24,2,Monday,24,297,44,October,10,4,2005,2,2,2006,1
2005-10-25,2005-10-25,3,Tuesday,25,298,44,October,10,4,2005,2,2,2006,1
2005-10-26,2005-10-26,4,Wednesday,26,299,44,October,10,4,2005,2,2,2006,1
2005-10-27,2005-10-27,5,Thursday,27,300,44,October,10,4,2005,2,2,2006,1
2005-10-28,2005-10-28,6,Friday,28,301,44,October,10,4,2005,2,2,2006,1
2005-10-29,2005-10-29,7,Saturday,29,302,44,October,10,4,2005,2,2,2006,1
2005-10-30,2005-10-30,1,Sunday,30,303,45,October,10,4,2005,2,2,2006,1
2005-10-31,2005-10-31,2,Monday,31,304,45,October,10,4,2005,2,2,2006,1
